epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,4574.43,0.23696,0.44473,0.95438,0.95621,0.9371,0.97487,0.90605,0.31083,0.27803,1.08915,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,4687.13,0.24091,0.44212,0.95478,0.95799,0.93659,0.97496,0.90513,0.31196,0.2705,1.08745,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,4799.32,0.2343,0.43881,0.95219,0.95736,0.92902,0.97555,0.90288,0.31515,0.27557,1.09354,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,4912.05,0.23311,0.43103,0.95004,0.96363,0.92827,0.97628,0.90607,0.31274,0.27463,1.09039,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,5024.54,0.23104,0.43104,0.95011,0.94954,0.93946,0.97522,0.90692,0.31396,0.27621,1.09042,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,5136.88,0.23037,0.43033,0.94976,0.95941,0.93573,0.97506,0.90724,0.30945,0.26718,1.0928,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,5249.39,0.23014,0.42597,0.95008,0.96008,0.93466,0.97371,0.90706,0.31171,0.27513,1.09564,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,5361.96,0.22518,0.421,0.94501,0.94536,0.94437,0.97443,0.90686,0.3086,0.27173,1.0951,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,5474.3,0.22394,0.41234,0.94589,0.94975,0.93814,0.97269,0.90662,0.31193,0.27305,1.09905,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,5586.62,0.22162,0.40915,0.94598,0.94015,0.94447,0.97146,0.90597,0.31606,0.27335,1.09997,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,5699.02,0.2212,0.40677,0.9455,0.94829,0.93585,0.97131,0.90618,0.31369,0.27214,1.09804,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,5811.57,0.2172,0.39621,0.94416,0.94396,0.93833,0.97358,0.90883,0.31066,0.2692,1.09598,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5924.3,0.21869,0.39666,0.94184,0.9456,0.93427,0.97312,0.90732,0.31044,0.26926,1.0973,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,6036.6,0.21705,0.39527,0.94311,0.95755,0.92973,0.97413,0.90741,0.30726,0.26736,1.09622,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,6148.97,0.21873,0.3903,0.94342,0.94547,0.93866,0.97473,0.90859,0.30509,0.26686,1.09496,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,6261.57,0.21246,0.38503,0.94159,0.9508,0.93568,0.97475,0.90846,0.30548,0.26459,1.09631,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,6374.2,0.21163,0.37912,0.93959,0.95085,0.93507,0.97382,0.90918,0.30446,0.26215,1.09671,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,6486.74,0.20997,0.37598,0.93891,0.94871,0.93979,0.97374,0.90836,0.30402,0.26127,1.09675,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,6599.1,0.20887,0.37378,0.9394,0.9502,0.94136,0.97427,0.90882,0.30357,0.2604,1.09741,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,6711.56,0.20458,0.36459,0.93749,0.95108,0.9358,0.97367,0.90899,0.3026,0.26086,1.09627,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,6823.5,0.20352,0.36767,0.93691,0.95275,0.93752,0.97358,0.90905,0.30273,0.26065,1.09648,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,6936.14,0.20317,0.36604,0.93468,0.94971,0.93882,0.9737,0.90939,0.30332,0.26022,1.09721,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,7048.78,0.20182,0.35847,0.93414,0.94736,0.93657,0.97218,0.90996,0.30389,0.25992,1.09833,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,7161.39,0.1973,0.34999,0.93266,0.94819,0.93681,0.97196,0.90918,0.30413,0.26041,1.09939,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,7273.49,0.19799,0.34968,0.9326,0.94394,0.93888,0.97178,0.90881,0.30364,0.26087,1.09961,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,7385.59,0.19599,0.34296,0.93176,0.94482,0.94172,0.97213,0.90871,0.30412,0.26064,1.10118,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,7497.79,0.19205,0.34016,0.92925,0.94906,0.93677,0.97293,0.90892,0.30431,0.26034,1.10244,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
